Lonsdalea quercina,71657,
Macrosiphum euphorbiae,13131,potato aphid
Magnaporthe oryzae,318829,rice blast fungus
Melampsora larici-populina,203908,
Melampsora lini,5261,flax rust
Meloidogyne javanica,6303,root-knot nematode
Metarhizium acridum,92637,
Metarhizium anisopliae,5530,
Metarhizium robertsii,568076,
Monilinia fructicola,38448,
Moniliophthora perniciosa,153609,
Muricauda olearia,552546,
Mycobacterium abscessus,36809,
Mycobacterium avium,1764,
Mycobacterium marinum,1781,
Mycobacterium smegmatis,1772,
Mycobacterium tuberculosis,1773,
Mycoplasma agalactiae,2110,
Mycoplasma gallisepticum,2096,
Myzus persicae,13164,green peach aphid
Nectria haematococca,140110,
Neisseria gonorrhoeae,485,
Neisseria meningitidis,487,
Paenibacillus larvae,1464,
Pantoea ananatis,553,
Pantoea stewartii,66269,
Paracoccidioides brasiliensis,121759,
Parastagonospora nodorum,13684,
Passalora fulva,5499,
Pectobacterium atrosepticum,29471,
Pectobacterium carotovorum,554,
Pectobacterium wasabiae,55208,
Penicillium digitatum,36651,
Penicillium expansum,27334,
Photobacterium damselae,38293,
Photorhabdus luminescens,29488,
Phytophthora cactorum,29920,
Phytophthora capsici,4784,
Phytophthora infestans,4787,potato late blight agent
Phytophthora parasitica,4792,
Phytophthora sojae,67593,
Plasmodium berghei,5821,
Plasmodium falciparum,5833,malaria parasite P. falciparum
Porphyromonas gingivalis,837,
Proteus mirabilis,584,
Pseudocercospora fijiensis,1873960,
Pseudocercospora fijiensis,83344,
Pseudocercospora fuligena,685502,
Pseudomonas aeruginosa,287,
Pseudomonas cichorii,36746,
Pseudomonas fluorescens,294,
Pseudomonas fuscovaginae,50340,
Pseudomonas savastanoi,29438,
Pseudomonas syringae,317,
Pseudomonas tolaasii,29442,
Pseudopyrenochaeta lycopersici,285811,
Puccinia graminis,5297,
Puccinia striiformis,27350,
Pyrenopeziza brassicae,76659,
Pyrenophora teres,53485,barley net-spot blotch disease agent
Pyrenophora tritici-repentis,45151,
Pythium aphanidermatum,65070,
Radopholus similis,46012,banana-root nematode
Ralstonia pickettii,329,
Ralstonia solanacearum,305,
Rhizoctonia solani,456999,
Rhizopus oryzae,64495,
Rhynchosporium commune,914237,
Riemerella anatipestifer,34085,
Rosellinia necatrix,77044,
Saccharomyces cerevisiae,4932,baker's yeast
Salmonella enterica,28901,
Sclerotinia sclerotiorum,5180,
Septoria lycopersici,39703,tomato leaf spot fungus
Serratia marcescens,615,
Setosphaeria turcica,93612,northern corn leaf blight
Shigella flexneri,623,
Staphylococcus aureus,1280,
Staphylococcus epidermidis,1282,
Staphylococcus lugdunensis,28035,
Staphylococcus saprophyticus,29385,
Stenotrophomonas maltophilia,40324,
Streptococcus agalactiae,1311,
Streptococcus equi,1336,
Streptococcus iniae,1346,
Streptococcus parauberis,1348,
Streptococcus pneumoniae,1313,
Streptococcus pyogenes,1314,
Streptococcus sp. 'group A',36470,
Streptococcus suis,1307,
Streptococcus uberis,1349,
Streptomyces scabiei,1930,
Streptomyces turgidiscabies,85558,
Toxoplasma gondii,5811,
Treponema denticola,158,
Trichoderma virens,29875,
Trichophyton mentagrophytes,523103,
Trichophyton rubrum,5551,
Trypanosoma brucei,5691,
Trypanosoma cruzi,5693,
Ustilaginoidea virens,1159556,
Ustilago hordei,120017,
Ustilago maydis,5270,
Valsa mali,105487,
Venturia inaequalis,5025,
Verticillium dahliae,27337,
Verticillium longisporum,100787,
Vibrio aestuarianus,28171,
Vibrio anguillarum,55601,
Vibrio campbellii,680,
Vibrio cholerae,666,
Vibrio harveyi,669,
Vibrio parahaemolyticus,670,
Vibrio tasmaniensis,212663,
Vibrio vulnificus,672,
Xanthomonas albilineans,29447,
Xanthomonas axonopodis,53413,
Xanthomonas campestris,339,
Xanthomonas citri,346,
Xanthomonas euvesicatoria,456327,
Xanthomonas hortorum,56454,
Xanthomonas oryzae,347,
Xanthomonas translucens,343,
Xenorhabdus nematophila,628,
Xylella fastidiosa,2371,
Yersinia enterocolitica,630,
Yersinia pestis,632,
Yersinia pseudotuberculosis,633,
Yersinia ruckeri,29486,
Zymoseptoria tritici,1047171,
